Indicator1,Indicator2,Absolute_Correlation,Indicator1_Code,Indicator2_Code,Is_Highly_Correlated
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9775196303544432,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.SO.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9768502252207694,FX.OWN.TOTL.ZS,FX.OWN.TOTL.SO.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.9766687790585266,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.40.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9725344543275177,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.SO.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9723818919101999,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.SO.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.9683006497833079,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.MA.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.9682479251885358,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.60.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9665132716717637,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.SO.ZS,True
Broad money (current LCU),Net foreign assets (current LCU),0.9631970852156282,FM.LBL.BMNY.CN,FM.AST.NFRG.CN,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.9609920292296478,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.PL.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9599494853680256,FX.OWN.TOTL.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9594929939277114,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.YG.ZS,True
Claims on other sectors of the domestic economy (% of GDP),Domestic credit provided by financial sector (% of GDP),0.9581014121853684,FS.AST.DOMO.GD.ZS,FS.AST.DOMS.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9578948602737486,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.SO.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9564859120618093,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.YG.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.9537530692968433,FX.OWN.TOTL.ZS,FX.OWN.TOTL.PL.ZS,True
Net domestic credit (current LCU),Net foreign assets (current LCU),0.9526516526212305,FM.AST.DOMS.CN,FM.AST.NFRG.CN,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9484660346231495,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9471742574978002,FX.OWN.TOTL.PL.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.9471655375650002,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.PL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.9458954514289118,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.PL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9456678274019635,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.945339310378081,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.PL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9408170926056157,FX.OWN.TOTL.SO.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9392894261739089,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.YG.ZS,True
Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector (% of GDP),0.9361400328141497,FS.AST.DOMS.GD.ZS,FS.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.9334913715710712,FX.OWN.TOTL.PL.ZS,FX.OWN.TOTL.60.ZS,True
Broad money (% of GDP),Monetary Sector credit to private sector (% GDP),0.9269104044184421,FM.LBL.BMNY.GD.ZS,FM.AST.PRVT.GD.ZS,True
Broad money (% of GDP),Domestic credit to private sector by banks (% of GDP),0.9266540811397002,FM.LBL.BMNY.GD.ZS,FD.AST.PRVT.GD.ZS,True
Wholesale price index (2010 = 100),"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",0.9228928398648797,FP.WPI.TOTL,SG.DMK.SRCR.FN.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.922093371300921,FX.OWN.TOTL.PL.ZS,FX.OWN.TOTL.SO.ZS,True
Claims on other sectors of the domestic economy (annual growth as % of broad money),Claims on private sector (annual growth as % of broad money),0.9216333121019047,FM.AST.DOMO.ZG.M3,FM.AST.PRVT.ZG.M3,True
Broad money (% of GDP),Broad money to total reserves ratio,0.9080492229187107,FM.LBL.BMNY.GD.ZS,FM.LBL.BMNY.IR.ZS,True
Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),0.906333773875008,SP.M15.2024.FE.ZS,SP.M18.2024.FE.ZS,True
Broad money (% of GDP),Domestic credit to private sector (% of GDP),0.8988230508081203,FM.LBL.BMNY.GD.ZS,FS.AST.PRVT.GD.ZS,True
Real effective exchange rate index (2010 = 100),Wholesale price index (2010 = 100),0.8858672786120794,PX.REX.REER,FP.WPI.TOTL,True
Broad money (% of GDP),"Claims on central government, etc. (% GDP)",0.8832731916664749,FM.LBL.BMNY.GD.ZS,FS.AST.CGOV.GD.ZS,True
"Interest rate spread (lending rate minus deposit rate, %)",Lending interest rate (%),0.8758707009750568,FR.INR.LNDP,FR.INR.LEND,True
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",0.8640881071239402,SG.DMK.SRCR.FN.ZS,SG.DMK.ALLD.FN.ZS,True
Broad money (% of GDP),Domestic credit provided by financial sector (% of GDP),0.8551491492518906,FM.LBL.BMNY.GD.ZS,FS.AST.DOMS.GD.ZS,True
"Inflation, consumer prices (annual %)",Wholesale price index (2010 = 100),0.8518489470904921,FP.CPI.TOTL.ZG,FP.WPI.TOTL,True
Broad money to total reserves ratio,Monetary Sector credit to private sector (% GDP),0.8455555813875976,FM.LBL.BMNY.IR.ZS,FM.AST.PRVT.GD.ZS,True
Broad money to total reserves ratio,Domestic credit to private sector (% of GDP),0.8453307450531544,FM.LBL.BMNY.IR.ZS,FS.AST.PRVT.GD.ZS,True
Broad money to total reserves ratio,Domestic credit to private sector by banks (% of GDP),0.8440156036674398,FM.LBL.BMNY.IR.ZS,FD.AST.PRVT.GD.ZS,True
"Interest rate spread (lending rate minus deposit rate, %)","Risk premium on lending (lending rate minus treasury bill rate, %)",0.8182408005135857,FR.INR.LNDP,FR.INR.RISK,True
Broad money to total reserves ratio,"Claims on central government, etc. (% GDP)",0.7924236525551854,FM.LBL.BMNY.IR.ZS,FS.AST.CGOV.GD.ZS,True
Claims on other sectors of the domestic economy (% of GDP),Domestic credit to private sector by banks (% of GDP),0.7856574934732422,FS.AST.DOMO.GD.ZS,FD.AST.PRVT.GD.ZS,True
Claims on other sectors of the domestic economy (% of GDP),Monetary Sector credit to private sector (% GDP),0.7833268519201766,FS.AST.DOMO.GD.ZS,FM.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Claims on other sectors of the domestic economy (% of GDP),0.778498958411067,FX.OWN.TOTL.40.ZS,FS.AST.DOMO.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Claims on other sectors of the domestic economy (% of GDP),0.7776285130698701,FX.OWN.TOTL.YG.ZS,FS.AST.DOMO.GD.ZS,True
Broad money (% of GDP),Claims on other sectors of the domestic economy (% of GDP),0.7710297993980527,FM.LBL.BMNY.GD.ZS,FS.AST.DOMO.GD.ZS,True
DEC alternative conversion factor (LCU per US$),Net foreign assets (current LCU),0.7681787774862393,PA.NUS.ATLS,FM.AST.NFRG.CN,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Claims on other sectors of the domestic economy (% of GDP),0.7668955859371036,FX.OWN.TOTL.FE.ZS,FS.AST.DOMO.GD.ZS,True
Net foreign assets (current LCU),"Official exchange rate (LCU per US$, period average)",0.7653165980464977,FM.AST.NFRG.CN,PA.NUS.FCRF,True
Broad money (current LCU),DEC alternative conversion factor (LCU per US$),0.7607715233326495,FM.LBL.BMNY.CN,PA.NUS.ATLS,True
Broad money (current LCU),"Official exchange rate (LCU per US$, period average)",0.7596875577890747,FM.LBL.BMNY.CN,PA.NUS.FCRF,True
"Claims on central government, etc. (% GDP)",Domestic credit to private sector by banks (% of GDP),0.7531023193538334,FS.AST.CGOV.GD.ZS,FD.AST.PRVT.GD.ZS,True
"Claims on central government, etc. (% GDP)",Monetary Sector credit to private sector (% GDP),0.7528891049095126,FS.AST.CGOV.GD.ZS,FM.AST.PRVT.GD.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Claims on other sectors of the domestic economy (% of GDP),0.7522945747045976,FX.OWN.TOTL.ZS,FS.AST.DOMO.GD.ZS,True
DEC alternative conversion factor (LCU per US$),Net domestic credit (current LCU),0.7455240189522303,PA.NUS.ATLS,FM.AST.DOMS.CN,True
Net domestic credit (current LCU),"Official exchange rate (LCU per US$, period average)",0.7446349193132994,FM.AST.DOMS.CN,PA.NUS.FCRF,True
Domestic credit provided by financial sector (% of GDP),Domestic credit to private sector by banks (% of GDP),0.7369557896145472,FS.AST.DOMS.GD.ZS,FD.AST.PRVT.GD.ZS,True
Domestic credit provided by financial sector (% of GDP),Monetary Sector credit to private sector (% GDP),0.7350430574190806,FS.AST.DOMS.GD.ZS,FM.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",Claims on other sectors of the domestic economy (% of GDP),0.7335558009489831,FX.OWN.TOTL.OL.ZS,FS.AST.DOMO.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",Domestic credit to private sector by banks (% of GDP),0.7279728346376657,FX.OWN.TOTL.PL.ZS,FD.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",Claims on other sectors of the domestic economy (% of GDP),0.7265061011133059,FX.OWN.TOTL.PL.ZS,FS.AST.DOMO.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Domestic credit provided by financial sector (% of GDP),0.7245929636652984,FX.OWN.TOTL.YG.ZS,FS.AST.DOMS.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",Monetary Sector credit to private sector (% GDP),0.7234907146022436,FX.OWN.TOTL.PL.ZS,FM.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit provided by financial sector (% of GDP),0.7228845556817686,FX.OWN.TOTL.40.ZS,FS.AST.DOMS.GD.ZS,True
"Borrowers from commercial banks (per 1,000 adults)","Depositors with commercial banks (per 1,000 adults)",0.7223801862745631,FB.CBK.BRWR.P3,FB.CBK.DPTR.P3,True
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",Claims on other sectors of the domestic economy (% of GDP),0.7221137681031506,FX.OWN.TOTL.60.ZS,FS.AST.DOMO.GD.ZS,True
Lending interest rate (%),"Risk premium on lending (lending rate minus treasury bill rate, %)",0.7210547483126198,FR.INR.LEND,FR.INR.RISK,True
Deposit interest rate (%),Lending interest rate (%),0.716943046954695,FR.INR.DPST,FR.INR.LEND,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Claims on other sectors of the domestic economy (% of GDP),0.7152945081087465,FX.OWN.TOTL.MA.ZS,FS.AST.DOMO.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Domestic credit to private sector (% of GDP),0.7147048656178011,FX.OWN.TOTL.YG.ZS,FS.AST.PRVT.GD.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Borrowers from commercial banks (per 1,000 adults)",0.7146770774706042,FX.OWN.TOTL.ZS,FB.CBK.BRWR.P3,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Borrowers from commercial banks (per 1,000 adults)",0.7144472265924235,FX.OWN.TOTL.FE.ZS,FB.CBK.BRWR.P3,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Borrowers from commercial banks (per 1,000 adults)",0.7101340553186625,FX.OWN.TOTL.OL.ZS,FB.CBK.BRWR.P3,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Domestic credit provided by financial sector (% of GDP),0.7097506072315951,FX.OWN.TOTL.FE.ZS,FS.AST.DOMS.GD.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Domestic credit to private sector (% of GDP),0.7081871510345412,FX.OWN.TOTL.ZS,FS.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Domestic credit to private sector (% of GDP),0.7079417062264789,FX.OWN.TOTL.FE.ZS,FS.AST.PRVT.GD.ZS,True
Consumer price index (2010 = 100),GDP deflator (base year varies by country),0.7078158281573762,FP.CPI.TOTL,NY.GDP.DEFL.ZS,True
"Inflation, consumer prices (annual %)","Inflation, GDP deflator: linked series (annual %)",0.707801022669373,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG.AD,True
"Claims on central government, etc. (% GDP)",Domestic credit to private sector (% of GDP),0.7076284490440348,FS.AST.CGOV.GD.ZS,FS.AST.PRVT.GD.ZS,True
Consumer price index (2010 = 100),GDP deflator: linked series (base year varies by country),0.7075699010243901,FP.CPI.TOTL,NY.GDP.DEFL.ZS.AD,True
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Domestic credit to private sector by banks (% of GDP),0.707201375165873,FX.OWN.TOTL.YG.ZS,FD.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Borrowers from commercial banks (per 1,000 adults)",0.7071413933102535,FX.OWN.TOTL.40.ZS,FB.CBK.BRWR.P3,True
"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",0.7061204964684052,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,True
"Automated teller machines (ATMs) (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",0.7061141703674803,FB.ATM.TOTL.P5,FB.CBK.BRWR.P3,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Domestic credit to private sector by banks (% of GDP),0.7039825441944328,FX.OWN.TOTL.ZS,FD.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit to private sector (% of GDP),0.7036991175915931,FX.OWN.TOTL.40.ZS,FS.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit to private sector by banks (% of GDP),0.7035389622437687,FX.OWN.TOTL.40.ZS,FD.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Monetary Sector credit to private sector (% GDP),0.7025306697251171,FX.OWN.TOTL.YG.ZS,FM.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",Domestic credit to private sector (% of GDP),0.7024217121385513,FX.OWN.TOTL.PL.ZS,FS.AST.PRVT.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Domestic credit to private sector by banks (% of GDP),0.701454752912815,FX.OWN.TOTL.FE.ZS,FD.AST.PRVT.GD.ZS,True
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Domestic credit provided by financial sector (% of GDP),0.7005018368565983,FX.OWN.TOTL.ZS,FS.AST.DOMS.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Monetary Sector credit to private sector (% GDP),0.6996969026270669,FX.OWN.TOTL.40.ZS,FM.AST.PRVT.GD.ZS,False
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Monetary Sector credit to private sector (% GDP),0.69931626982057,FX.OWN.TOTL.ZS,FM.AST.PRVT.GD.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)",Claims on other sectors of the domestic economy (% of GDP),0.6981978445940541,FB.ATM.TOTL.P5,FS.AST.DOMO.GD.ZS,False
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Domestic credit to private sector (% of GDP),0.6979306030626296,FX.OWN.TOTL.MA.ZS,FS.AST.PRVT.GD.ZS,False
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Borrowers from commercial banks (per 1,000 adults)",0.6968344097919071,FX.OWN.TOTL.MA.ZS,FB.CBK.BRWR.P3,False
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Monetary Sector credit to private sector (% GDP),0.6968088721724112,FX.OWN.TOTL.FE.ZS,FM.AST.PRVT.GD.ZS,False
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",Domestic credit to private sector (% of GDP),0.6967028147610149,FX.OWN.TOTL.OL.ZS,FS.AST.PRVT.GD.ZS,False
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Borrowers from commercial banks (per 1,000 adults)",0.6966305784639645,FX.OWN.TOTL.PL.ZS,FB.CBK.BRWR.P3,False
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Domestic credit to private sector by banks (% of GDP),0.6958569993551927,FX.OWN.TOTL.MA.ZS,FD.AST.PRVT.GD.ZS,False
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",Domestic credit to private sector (% of GDP),0.6952943409159562,FX.OWN.TOTL.60.ZS,FS.AST.PRVT.GD.ZS,False
"Claims on central government, etc. (% GDP)",Domestic credit provided by financial sector (% of GDP),0.6938577513195782,FS.AST.CGOV.GD.ZS,FS.AST.DOMS.GD.ZS,False
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",Domestic credit to private sector by banks (% of GDP),0.6922978859576548,FX.OWN.TOTL.OL.ZS,FD.AST.PRVT.GD.ZS,False
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Borrowers from commercial banks (per 1,000 adults)",0.6922784347268734,FX.OWN.TOTL.60.ZS,FB.CBK.BRWR.P3,False
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Automated teller machines (ATMs) (per 100,000 adults)",0.6922457163485295,FX.OWN.TOTL.FE.ZS,FB.ATM.TOTL.P5,False
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Monetary Sector credit to private sector (% GDP),0.6912360035792348,FX.OWN.TOTL.MA.ZS,FM.AST.PRVT.GD.ZS,False
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",Monetary Sector credit to private sector (% GDP),0.6878200544840402,FX.OWN.TOTL.OL.ZS,FM.AST.PRVT.GD.ZS,False
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",Domestic credit to private sector by banks (% of GDP),0.6873393070359728,FX.OWN.TOTL.60.ZS,FD.AST.PRVT.GD.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)","Depositors with commercial banks (per 1,000 adults)",0.687125233695861,FB.ATM.TOTL.P5,FB.CBK.DPTR.P3,False
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",Claims on other sectors of the domestic economy (% of GDP),0.6868140912915793,FX.OWN.TOTL.SO.ZS,FS.AST.DOMO.GD.ZS,False
Broad money growth (annual %),"Inflation, GDP deflator: linked series (annual %)",0.6849337222779377,FM.LBL.BMNY.ZG,NY.GDP.DEFL.KD.ZG.AD,False
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Automated teller machines (ATMs) (per 100,000 adults)",0.6842202909459095,FX.OWN.TOTL.ZS,FB.ATM.TOTL.P5,False
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",Monetary Sector credit to private sector (% GDP),0.683477874178242,FX.OWN.TOTL.60.ZS,FM.AST.PRVT.GD.ZS,False
