Indicator1,Indicator2,Absolute_Correlation,Indicator1_Code,Indicator2_Code,Is_Highly_Correlated
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.9734565607017874,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.MA.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9719487073457499,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.SO.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9716942957433387,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.SO.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.966166830982648,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.60.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.9657036896178756,FX.OWN.TOTL.YG.ZS,FX.OWN.TOTL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.9651557352992094,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.MA.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9649710306825237,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.SO.ZS,True
Net foreign assets (current LCU),Broad money (current LCU),0.9646314690817004,FM.AST.NFRG.CN,FM.LBL.BMNY.CN,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9640308708451983,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.9631096297608938,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.PL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9627528136790459,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.9566822285344568,FX.OWN.TOTL.PL.ZS,FX.OWN.TOTL.ZS,True
Net domestic credit (current LCU),Net foreign assets (current LCU),0.9551784370975849,FM.AST.DOMS.CN,FM.AST.NFRG.CN,True
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9544507100341473,FX.OWN.TOTL.40.ZS,FX.OWN.TOTL.SO.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9519649811652202,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9519383542597784,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9495848927304762,FX.OWN.TOTL.PL.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.9487051500913465,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.PL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.9483253174491049,FX.OWN.TOTL.MA.ZS,FX.OWN.TOTL.PL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.9483180971220497,FX.OWN.TOTL.FE.ZS,FX.OWN.TOTL.PL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9467145570462244,FX.OWN.TOTL.SO.ZS,FX.OWN.TOTL.YG.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.9456375124744782,FX.OWN.TOTL.OL.ZS,FX.OWN.TOTL.YG.ZS,True
Claims on other sectors of the domestic economy (% of GDP),Domestic credit provided by financial sector (% of GDP),0.9380252752009434,FS.AST.DOMO.GD.ZS,FS.AST.DOMS.GD.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.9352928003894735,FX.OWN.TOTL.60.ZS,FX.OWN.TOTL.PL.ZS,True
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.9265917327364491,FX.OWN.TOTL.PL.ZS,FX.OWN.TOTL.SO.ZS,True
Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),0.9246606106241076,SP.M15.2024.FE.ZS,SP.M18.2024.FE.ZS,True
Monetary Sector credit to private sector (% GDP),Domestic credit to private sector (% of GDP),0.9098234459736252,FM.AST.PRVT.GD.ZS,FS.AST.PRVT.GD.ZS,True
Domestic credit to private sector by banks (% of GDP),Domestic credit to private sector (% of GDP),0.9097859710497321,FD.AST.PRVT.GD.ZS,FS.AST.PRVT.GD.ZS,True
Broad money (% of GDP),Broad money to total reserves ratio,0.9001814104556528,FM.LBL.BMNY.GD.ZS,FM.LBL.BMNY.IR.ZS,True
Monetary Sector credit to private sector (% GDP),Broad money (% of GDP),0.8959549788839166,FM.AST.PRVT.GD.ZS,FM.LBL.BMNY.GD.ZS,True
Domestic credit to private sector by banks (% of GDP),Broad money (% of GDP),0.8953479131184536,FD.AST.PRVT.GD.ZS,FM.LBL.BMNY.GD.ZS,True
Broad money (% of GDP),"Claims on central government, etc. (% GDP)",0.8737215830372934,FM.LBL.BMNY.GD.ZS,FS.AST.CGOV.GD.ZS,True
Broad money (% of GDP),Domestic credit to private sector (% of GDP),0.8133229417958496,FM.LBL.BMNY.GD.ZS,FS.AST.PRVT.GD.ZS,True
Domestic credit to private sector by banks (% of GDP),Claims on other sectors of the domestic economy (% of GDP),0.8015571073726665,FD.AST.PRVT.GD.ZS,FS.AST.DOMO.GD.ZS,True
Monetary Sector credit to private sector (% GDP),Claims on other sectors of the domestic economy (% of GDP),0.7985673656439457,FM.AST.PRVT.GD.ZS,FS.AST.DOMO.GD.ZS,True
Lending interest rate (%),"Interest rate spread (lending rate minus deposit rate, %)",0.7983751901700957,FR.INR.LEND,FR.INR.LNDP,True
Monetary Sector credit to private sector (% GDP),Broad money to total reserves ratio,0.7901609212889491,FM.AST.PRVT.GD.ZS,FM.LBL.BMNY.IR.ZS,True
Domestic credit to private sector by banks (% of GDP),Broad money to total reserves ratio,0.7891751728500944,FD.AST.PRVT.GD.ZS,FM.LBL.BMNY.IR.ZS,True
Broad money (% of GDP),Claims on other sectors of the domestic economy (% of GDP),0.7836763910708107,FM.LBL.BMNY.GD.ZS,FS.AST.DOMO.GD.ZS,True
Claims on other sectors of the domestic economy (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.771240270216387,FS.AST.DOMO.GD.ZS,FX.OWN.TOTL.40.ZS,True
Broad money to total reserves ratio,"Claims on central government, etc. (% GDP)",0.770450797802184,FM.LBL.BMNY.IR.ZS,FS.AST.CGOV.GD.ZS,True
Claims on other sectors of the domestic economy (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.7622058152512362,FS.AST.DOMO.GD.ZS,FX.OWN.TOTL.FE.ZS,True
Claims on other sectors of the domestic economy (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.7530832700483512,FS.AST.DOMO.GD.ZS,FX.OWN.TOTL.YG.ZS,True
"Automated teller machines (ATMs) (per 100,000 adults)",Claims on other sectors of the domestic economy (% of GDP),0.7510820977973072,FB.ATM.TOTL.P5,FS.AST.DOMO.GD.ZS,True
Claims on other sectors of the domestic economy (% of GDP),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.7504635469496113,FS.AST.DOMO.GD.ZS,FX.OWN.TOTL.ZS,True
Domestic credit to private sector by banks (% of GDP),"Claims on central government, etc. (% GDP)",0.741427795510061,FD.AST.PRVT.GD.ZS,FS.AST.CGOV.GD.ZS,True
Monetary Sector credit to private sector (% GDP),"Claims on central government, etc. (% GDP)",0.7410327884963487,FM.AST.PRVT.GD.ZS,FS.AST.CGOV.GD.ZS,True
Domestic credit to private sector by banks (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.7382166340474176,FD.AST.PRVT.GD.ZS,FX.OWN.TOTL.PL.ZS,True
Claims on other sectors of the domestic economy (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.7356758884910521,FS.AST.DOMO.GD.ZS,FX.OWN.TOTL.OL.ZS,True
Monetary Sector credit to private sector (% GDP),"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.7355876482513735,FM.AST.PRVT.GD.ZS,FX.OWN.TOTL.PL.ZS,True
"Borrowers from commercial banks (per 1,000 adults)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.7347112687607227,FB.CBK.BRWR.P3,FX.OWN.TOTL.ZS,True
"Borrowers from commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.7333667029721276,FB.CBK.BRWR.P3,FX.OWN.TOTL.FE.ZS,True
"Borrowers from commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.7326232968999242,FB.CBK.BRWR.P3,FX.OWN.TOTL.OL.ZS,True
"Borrowers from commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.7281549273117549,FB.CBK.BRWR.P3,FX.OWN.TOTL.40.ZS,True
Claims on other sectors of the domestic economy (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.7273720750351187,FS.AST.DOMO.GD.ZS,FX.OWN.TOTL.60.ZS,True
Broad money to total reserves ratio,Domestic credit to private sector (% of GDP),0.725311680754956,FM.LBL.BMNY.IR.ZS,FS.AST.PRVT.GD.ZS,True
"Borrowers from commercial banks (per 1,000 adults)","Depositors with commercial banks (per 1,000 adults)",0.7252409375683836,FB.CBK.BRWR.P3,FB.CBK.DPTR.P3,True
Domestic credit to private sector by banks (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.7224708204335366,FD.AST.PRVT.GD.ZS,FX.OWN.TOTL.YG.ZS,True
Claims on other sectors of the domestic economy (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.7202942227398481,FS.AST.DOMO.GD.ZS,FX.OWN.TOTL.PL.ZS,True
Monetary Sector credit to private sector (% GDP),"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.720045225867924,FM.AST.PRVT.GD.ZS,FX.OWN.TOTL.YG.ZS,True
"Borrowers from commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.7192389527326234,FB.CBK.BRWR.P3,FX.OWN.TOTL.60.ZS,True
"Borrowers from commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.7174896874123028,FB.CBK.BRWR.P3,FX.OWN.TOTL.MA.ZS,True
Domestic credit to private sector by banks (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.7153960674187271,FD.AST.PRVT.GD.ZS,FX.OWN.TOTL.40.ZS,True
Domestic credit to private sector by banks (% of GDP),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.7135935086170466,FD.AST.PRVT.GD.ZS,FX.OWN.TOTL.ZS,True
Claims on other sectors of the domestic economy (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.7132635739108562,FS.AST.DOMO.GD.ZS,FX.OWN.TOTL.MA.ZS,True
Monetary Sector credit to private sector (% GDP),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.7129351848337774,FM.AST.PRVT.GD.ZS,FX.OWN.TOTL.40.ZS,True
Domestic credit to private sector by banks (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.7127764220306163,FD.AST.PRVT.GD.ZS,FX.OWN.TOTL.FE.ZS,True
Monetary Sector credit to private sector (% GDP),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.711233899459615,FM.AST.PRVT.GD.ZS,FX.OWN.TOTL.ZS,True
Monetary Sector credit to private sector (% GDP),"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.7104017307586634,FM.AST.PRVT.GD.ZS,FX.OWN.TOTL.FE.ZS,True
"Automated teller machines (ATMs) (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",0.7102694005591685,FB.ATM.TOTL.P5,FB.CBK.BRWR.P3,True
"Automated teller machines (ATMs) (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.7092369021507378,FB.ATM.TOTL.P5,FX.OWN.TOTL.FE.ZS,True
"Automated teller machines (ATMs) (per 100,000 adults)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.7036319941282924,FB.ATM.TOTL.P5,FX.OWN.TOTL.ZS,True
Domestic credit to private sector by banks (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.7026001802784251,FD.AST.PRVT.GD.ZS,FX.OWN.TOTL.MA.ZS,True
Domestic credit to private sector by banks (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.7010656740763058,FD.AST.PRVT.GD.ZS,FX.OWN.TOTL.OL.ZS,True
Monetary Sector credit to private sector (% GDP),"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.7003245533448699,FM.AST.PRVT.GD.ZS,FX.OWN.TOTL.MA.ZS,True
Domestic credit to private sector by banks (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.6998757746914755,FD.AST.PRVT.GD.ZS,FX.OWN.TOTL.60.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.6997319619852078,FB.ATM.TOTL.P5,FX.OWN.TOTL.OL.ZS,False
Monetary Sector credit to private sector (% GDP),"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.6987194866007671,FM.AST.PRVT.GD.ZS,FX.OWN.TOTL.OL.ZS,False
Monetary Sector credit to private sector (% GDP),"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.6978156062087736,FM.AST.PRVT.GD.ZS,FX.OWN.TOTL.60.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.6976297273913524,FB.ATM.TOTL.P5,FX.OWN.TOTL.40.ZS,False
"Depositors with commercial banks (per 1,000 adults)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.6970006555287488,FB.CBK.DPTR.P3,FX.OWN.TOTL.ZS,False
Claims on other sectors of the domestic economy (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.6946961724858846,FS.AST.DOMO.GD.ZS,FX.OWN.TOTL.SO.ZS,False
"Borrowers from commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.6937689973196253,FB.CBK.BRWR.P3,FX.OWN.TOTL.PL.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.6919413732153905,FB.ATM.TOTL.P5,FX.OWN.TOTL.60.ZS,False
"Depositors with commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.6884359099614337,FB.CBK.DPTR.P3,FX.OWN.TOTL.MA.ZS,False
"Depositors with commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.6874601861056443,FB.CBK.DPTR.P3,FX.OWN.TOTL.FE.ZS,False
"Depositors with commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.686868547279195,FB.CBK.DPTR.P3,FX.OWN.TOTL.60.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",0.6860864036241783,FB.ATM.TOTL.P5,FX.OWN.TOTL.MA.ZS,False
"Depositors with commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.6860590181401311,FB.CBK.DPTR.P3,FX.OWN.TOTL.OL.ZS,False
Domestic credit to private sector by banks (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.68486174001582,FD.AST.PRVT.GD.ZS,FX.OWN.TOTL.SO.ZS,False
Monetary Sector credit to private sector (% GDP),"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.6824038484805347,FM.AST.PRVT.GD.ZS,FX.OWN.TOTL.SO.ZS,False
"Borrowers from commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.6822865119885464,FB.CBK.BRWR.P3,FX.OWN.TOTL.SO.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)","Depositors with commercial banks (per 1,000 adults)",0.680108134016669,FB.ATM.TOTL.P5,FB.CBK.DPTR.P3,False
"Depositors with commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.6784875380716683,FB.CBK.DPTR.P3,FX.OWN.TOTL.40.ZS,False
"Depositors with commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.6783265624702152,FB.CBK.DPTR.P3,FX.OWN.TOTL.YG.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.6731306049828701,FB.ATM.TOTL.P5,FX.OWN.TOTL.YG.ZS,False
"Borrowers from commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.67160681278692,FB.CBK.BRWR.P3,FX.OWN.TOTL.YG.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.6667703342828101,FB.ATM.TOTL.P5,FX.OWN.TOTL.PL.ZS,False
"Automated teller machines (ATMs) (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.6620446655532293,FB.ATM.TOTL.P5,FX.OWN.TOTL.SO.ZS,False
"Claims on central government, etc. (% GDP)",Domestic credit to private sector (% of GDP),0.6480377009047998,FS.AST.CGOV.GD.ZS,FS.AST.PRVT.GD.ZS,False
Average transaction cost of sending remittances to a specific country (%),Average transaction cost of sending remittances from a specific country (%),0.6356830224539317,SI.RMT.COST.IB.ZS,SI.RMT.COST.OB.ZS,False
"Depositors with commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",0.6284082105198331,FB.CBK.DPTR.P3,FX.OWN.TOTL.SO.ZS,False
"Depositors with commercial banks (per 1,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",0.6180958372276059,FB.CBK.DPTR.P3,FX.OWN.TOTL.PL.ZS,False
Net domestic credit (current LCU),DEC alternative conversion factor (LCU per US$),0.6006014710862936,FM.AST.DOMS.CN,PA.NUS.ATLS,False
"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",0.5935444045271053,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG,False
"Inflation, consumer prices (annual %)","Inflation, GDP deflator: linked series (annual %)",0.5925558253427095,FP.CPI.TOTL.ZG,NY.GDP.DEFL.KD.ZG.AD,False
Broad money to total reserves ratio,Claims on other sectors of the domestic economy (% of GDP),0.5851168467538943,FM.LBL.BMNY.IR.ZS,FS.AST.DOMO.GD.ZS,False
Net foreign assets (current LCU),DEC alternative conversion factor (LCU per US$),0.5846895102596336,FM.AST.NFRG.CN,PA.NUS.ATLS,False
"Commercial bank branches (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.581706190075607,FB.CBK.BRCH.P5,FX.OWN.TOTL.FE.ZS,False
Domestic credit to private sector (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",0.5767578723856859,FS.AST.PRVT.GD.ZS,FX.OWN.TOTL.YG.ZS,False
"Commercial bank branches (per 100,000 adults)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.5767123835044442,FB.CBK.BRCH.P5,FX.OWN.TOTL.ZS,False
Domestic credit to private sector (% of GDP),"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",0.5767087844985539,FS.AST.PRVT.GD.ZS,FX.OWN.TOTL.FE.ZS,False
Domestic credit to private sector (% of GDP),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.5765233087403467,FS.AST.PRVT.GD.ZS,FX.OWN.TOTL.ZS,False
"Commercial bank branches (per 100,000 adults)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",0.5757034746402396,FB.CBK.BRCH.P5,FX.OWN.TOTL.OL.ZS,False
Broad money (current LCU),DEC alternative conversion factor (LCU per US$),0.5748786419803664,FM.LBL.BMNY.CN,PA.NUS.ATLS,False
