Indicator Name,Indicator Code,Indicator Name and Definition
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,"FX.OWN.TOTL.60.ZS - Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,"FX.OWN.TOTL.SO.ZS - Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)"
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,"FX.OWN.TOTL.YG.ZS - Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)"
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,per_si_allsi.adq_pop_tot - Adequacy of social insurance programs (% of total welfare of beneficiary households)
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,per_allsp.adq_pop_tot - Adequacy of social protection and labor programs (% of total welfare of beneficiary households)
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,per_sa_allsa.adq_pop_tot - Adequacy of social safety net programs (% of total welfare of beneficiary households)
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,per_lm_alllm.adq_pop_tot - Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households)
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,"SE.PRM.TENR - Adjusted net enrollment rate, primary (% of primary school age children)"
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,"SE.PRM.TENR.FE - Adjusted net enrollment rate, primary, female (% of primary school age children)"
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,"SE.PRM.TENR.MA - Adjusted net enrollment rate, primary, male (% of primary school age children)"
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.KD.ZG - Adjusted net national income (annual % growth)
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,NY.ADJ.NNTY.KD - Adjusted net national income (constant 2015 US$)
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NY.ADJ.NNTY.CD - Adjusted net national income (current US$)
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG - Adjusted net national income per capita (annual % growth)
Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,NY.ADJ.NNTY.PC.KD - Adjusted net national income per capita (constant 2015 US$)
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,NY.ADJ.NNTY.PC.CD - Adjusted net national income per capita (current US$)
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,"NY.ADJ.SVNX.GN.ZS - Adjusted net savings, excluding particulate emission damage (% of GNI)"
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,"NY.ADJ.SVNX.CD - Adjusted net savings, excluding particulate emission damage (current US$)"
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,"NY.ADJ.SVNG.GN.ZS - Adjusted net savings, including particulate emission damage (% of GNI)"
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,"NY.ADJ.SVNG.CD - Adjusted net savings, including particulate emission damage (current US$)"
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,NY.ADJ.DCO2.GN.ZS - Adjusted savings: carbon dioxide damage (% of GNI)
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,NY.ADJ.DCO2.CD - Adjusted savings: carbon dioxide damage (current US$)
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,NY.ADJ.DKAP.GN.ZS - Adjusted savings: consumption of fixed capital (% of GNI)
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,NY.ADJ.DKAP.CD - Adjusted savings: consumption of fixed capital (current US$)
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,NY.ADJ.AEDU.GN.ZS - Adjusted savings: education expenditure (% of GNI)
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,NY.ADJ.AEDU.CD - Adjusted savings: education expenditure (current US$)
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,NY.ADJ.DNGY.GN.ZS - Adjusted savings: energy depletion (% of GNI)
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,NY.ADJ.DNGY.CD - Adjusted savings: energy depletion (current US$)
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,NY.ADJ.ICTR.GN.ZS - Adjusted savings: gross savings (% of GNI)
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,NY.ADJ.DMIN.GN.ZS - Adjusted savings: mineral depletion (% of GNI)
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,NY.ADJ.DMIN.CD - Adjusted savings: mineral depletion (current US$)
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,NY.ADJ.DRES.GN.ZS - Adjusted savings: natural resources depletion (% of GNI)
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,NY.ADJ.DFOR.GN.ZS - Adjusted savings: net forest depletion (% of GNI)
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,NY.ADJ.DFOR.CD - Adjusted savings: net forest depletion (current US$)
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,NY.ADJ.NNAT.GN.ZS - Adjusted savings: net national savings (% of GNI)
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,NY.ADJ.NNAT.CD - Adjusted savings: net national savings (current US$)
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,NY.ADJ.DPEM.GN.ZS - Adjusted savings: particulate emission damage (% of GNI)
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,NY.ADJ.DPEM.CD - Adjusted savings: particulate emission damage (current US$)
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,"SP.ADO.TFRT - Adolescent fertility rate (births per 1,000 women ages 15-19)"
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,SE.SEC.UNER.LO.ZS - Adolescents out of school (% of lower secondary school age)
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,"SE.SEC.UNER.LO.FE.ZS - Adolescents out of school, female (% of female lower secondary school age)"
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"SE.SEC.UNER.LO.MA.ZS - Adolescents out of school, male (% of male lower secondary school age)"
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,SH.HIV.INCD.TL - Adults (ages 15+) and children (ages 0-14) newly infected with HIV
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,SH.HIV.INCD - Adults (ages 15-49) newly infected with HIV
Age dependency ratio (% of working-age population),SP.POP.DPND,SP.POP.DPND - Age dependency ratio (% of working-age population)
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,"SP.POP.DPND.OL - Age dependency ratio, old (% of working-age population)"
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,"SP.POP.DPND.YG - Age dependency ratio, young (% of working-age population)"
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,AG.LND.IRIG.AG.ZS - Agricultural irrigated land (% of total agricultural land)
Agricultural land (% of land area),AG.LND.AGRI.ZS,AG.LND.AGRI.ZS - Agricultural land (% of land area)
Agricultural land (sq. km),AG.LND.AGRI.K2,AG.LND.AGRI.K2 - Agricultural land (sq. km)
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,TX.VAL.AGRI.ZS.UN - Agricultural raw materials exports (% of merchandise exports)
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,TM.VAL.AGRI.ZS.UN - Agricultural raw materials imports (% of merchandise imports)
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,"NV.AGR.TOTL.ZS - Agriculture, forestry, and fishing, value added (% of GDP)"
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,"NV.AGR.TOTL.KD.ZG - Agriculture, forestry, and fishing, value added (annual % growth)"
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,"NV.AGR.TOTL.KD - Agriculture, forestry, and fishing, value added (constant 2015 US$)"
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,"NV.AGR.TOTL.KN - Agriculture, forestry, and fishing, value added (constant LCU)"
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,"NV.AGR.TOTL.CN - Agriculture, forestry, and fishing, value added (current LCU)"
"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,"NV.AGR.TOTL.CD - Agriculture, forestry, and fishing, value added (current US$)"
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,"NV.AGR.EMPL.KD - Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,"IS.AIR.GOOD.MT.K1 - Air transport, freight (million ton-km)"
"Air transport, passengers carried",IS.AIR.PSGR,"IS.AIR.PSGR - Air transport, passengers carried"
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,"IS.AIR.DPRT - Air transport, registered carrier departures worldwide"
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,EG.USE.COMM.CL.ZS - Alternative and nuclear energy (% of total energy use)
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,"ER.H2O.FWAG.ZS - Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)"
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,"ER.H2O.FWDM.ZS - Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)"
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,"ER.H2O.FWIN.ZS - Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,"ER.H2O.FWTL.ZS - Annual freshwater withdrawals, total (% of internal resources)"
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,"ER.H2O.FWTL.K3 - Annual freshwater withdrawals, total (billion cubic meters)"
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,"SI.SPR.PC40.ZG - Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)"
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,"SI.SPR.PCAP.ZG - Annualized average growth rate in per capita real survey mean consumption or income, total population (%)"
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,SH.HIV.ARTC.ZS - Antiretroviral therapy coverage (% of people living with HIV)
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,SH.HIV.PMTC.ZS - Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV)
Aquaculture production (metric tons),ER.FSH.AQUA.MT,ER.FSH.AQUA.MT - Aquaculture production (metric tons)
Arable land (% of land area),AG.LND.ARBL.ZS,AG.LND.ARBL.ZS - Arable land (% of land area)
Arable land (hectares per person),AG.LND.ARBL.HA.PC,AG.LND.ARBL.HA.PC - Arable land (hectares per person)
Arable land (hectares),AG.LND.ARBL.HA,AG.LND.ARBL.HA - Arable land (hectares)
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,SH.STA.ARIC.ZS - ARI treatment (% of children under 5 taken to a health provider)
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,MS.MIL.TOTL.TF.ZS - Armed forces personnel (% of total labor force)
"Armed forces personnel, total",MS.MIL.TOTL.P1,"MS.MIL.TOTL.P1 - Armed forces personnel, total"
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,MS.MIL.XPRT.KD - Arms exports (SIPRI trend indicator values)
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,MS.MIL.MPRT.KD - Arms imports (SIPRI trend indicator values)
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,"FB.ATM.TOTL.P5 - Automated teller machines (ATMs) (per 100,000 adults)"
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,AG.LND.PRCP.MM - Average precipitation in depth (mm per year)
Average time to clear exports through customs (days),IC.CUS.DURS.EX,IC.CUS.DURS.EX - Average time to clear exports through customs (days)
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,SI.RMT.COST.OB.ZS - Average transaction cost of sending remittances from a specific country (%)
Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,SI.RMT.COST.IB.ZS - Average transaction cost of sending remittances to a specific country (%)
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,"SL.TLF.0714.SW.TM - Average working hours of children, study and work, ages 7-14 (hours per week)"
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,"SL.TLF.0714.SW.FE.TM - Average working hours of children, study and work, female, ages 7-14 (hours per week)"
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,"SL.TLF.0714.SW.MA.TM - Average working hours of children, study and work, male, ages 7-14 (hours per week)"
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,"SL.TLF.0714.WK.TM - Average working hours of children, working only, ages 7-14 (hours per week)"
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,"SL.TLF.0714.WK.FE.TM - Average working hours of children, working only, female, ages 7-14 (hours per week)"
"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,"SL.TLF.0714.WK.MA.TM - Average working hours of children, working only, male, ages 7-14 (hours per week)"
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,FB.BNK.CAPA.ZS - Bank capital to assets ratio (%)
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,FD.RES.LIQU.AS.ZS - Bank liquid reserves to bank assets ratio (%)
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,FB.AST.NPER.ZS - Bank nonperforming loans to total gross loans (%)
Battle-related deaths (number of people),VC.BTL.DETH,VC.BTL.DETH - Battle-related deaths (number of people)
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,per_si_allsi.ben_q1_tot - Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits)
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot,per_allsp.ben_q1_tot - Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits)
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,per_sa_allsa.ben_q1_tot - Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits)
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,per_lm_alllm.ben_q1_tot - Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits)
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,"TM.TAX.MRCH.BC.ZS - Binding coverage, all products (%)"
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,"TM.TAX.MANF.BC.ZS - Binding coverage, manufactured products (%)"
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,"TM.TAX.TCOM.BC.ZS - Binding coverage, primary products (%)"
"Bird species, threatened",EN.BIR.THRD.NO,"EN.BIR.THRD.NO - Bird species, threatened"
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"SP.DYN.CBRT.IN - Birth rate, crude (per 1,000 people)"
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,SH.STA.BRTC.ZS - Births attended by skilled health staff (% of total)
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,"FB.CBK.BRWR.P3 - Borrowers from commercial banks (per 1,000 adults)"
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,"TM.TAX.MRCH.BR.ZS - Bound rate, simple mean, all products (%)"
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,"TM.TAX.MANF.BR.ZS - Bound rate, simple mean, manufactured products (%)"
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,"TM.TAX.TCOM.BR.ZS - Bound rate, simple mean, primary products (%)"
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,IC.FRM.BRIB.ZS - Bribery incidence (% of firms experiencing at least one bribe payment request)
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,FM.LBL.BMNY.GD.ZS - Broad money (% of GDP)
Broad money (current LCU),FM.LBL.BMNY.CN,FM.LBL.BMNY.CN - Broad money (current LCU)
Broad money growth (annual %),FM.LBL.BMNY.ZG,FM.LBL.BMNY.ZG - Broad money growth (annual %)
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,FM.LBL.BMNY.IR.ZS - Broad money to total reserves ratio
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,IC.BUS.DISC.XQ - Business extent of disclosure index (0=less disclosure to 10=more disclosure)
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,ER.FSH.CAPT.MT - Capture fisheries production (metric tons)
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,EN.GHG.CO2.ZG.AR5 - Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990)
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,EN.GHG.CO2.MT.CE.AR5 - Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e)
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,EN.GHG.CO2.PC.CE.AR5 - Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,EN.GHG.CO2.AG.MT.CE.AR5 - Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e)
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,EN.GHG.CO2.BU.MT.CE.AR5 - Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e)
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,EN.GHG.CO2.FE.MT.CE.AR5 - Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,EN.GHG.CO2.IC.MT.CE.AR5 - Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,EN.GHG.CO2.IP.MT.CE.AR5 - Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e)
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,EN.GHG.CO2.PI.MT.CE.AR5 - Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e)
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,EN.GHG.CO2.TR.MT.CE.AR5 - Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e)
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,EN.GHG.CO2.WA.MT.CE.AR5 - Carbon dioxide (CO2) emissions from Waste (Mt CO2e)
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),EN.GHG.CO2.LU.DF.MT.CE.AR5,EN.GHG.CO2.LU.DF.MT.CE.AR5 - Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e)
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),EN.GHG.CO2.LU.FL.MT.CE.AR5,EN.GHG.CO2.LU.FL.MT.CE.AR5 - Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e)
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),EN.GHG.CO2.LU.OS.MT.CE.AR5,EN.GHG.CO2.LU.OS.MT.CE.AR5 - Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e)
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),EN.GHG.CO2.LU.OL.MT.CE.AR5,EN.GHG.CO2.LU.OL.MT.CE.AR5 - Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e)
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,EN.GHG.CO2.LU.MT.CE.AR5 - Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e)
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,EN.GHG.CO2.RT.GDP.PP.KD - Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP)
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,EN.GHG.CO2.RT.GDP.KD - Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP)
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,"SH.DTH.COMM.ZS - Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)"
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,"SH.DTH.INJR.ZS - Cause of death, by injury (% of total)"
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,"SH.DTH.NCOM.ZS - Cause of death, by non-communicable diseases (% of total)"
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,"GC.DOD.TOTL.GD.ZS - Central government debt, total (% of GDP)"
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,"GC.DOD.TOTL.CN - Central government debt, total (current LCU)"
Cereal production (metric tons),AG.PRD.CREL.MT,AG.PRD.CREL.MT - Cereal production (metric tons)
Cereal yield (kg per hectare),AG.YLD.CREL.KG,AG.YLD.CREL.KG - Cereal yield (kg per hectare)
Changes in inventories (constant LCU),NE.GDI.STKB.KN,NE.GDI.STKB.KN - Changes in inventories (constant LCU)
Changes in inventories (current LCU),NE.GDI.STKB.CN,NE.GDI.STKB.CN - Changes in inventories (current LCU)
Changes in inventories (current US$),NE.GDI.STKB.CD,NE.GDI.STKB.CD - Changes in inventories (current US$)
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,"BM.GSR.ROYL.CD - Charges for the use of intellectual property, payments (BoP, current US$)"
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,"BX.GSR.ROYL.CD - Charges for the use of intellectual property, receipts (BoP, current US$)"
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,NV.MNF.CHEM.ZS.UN - Chemicals (% of value added in manufacturing)
Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,SL.AGR.0714.ZS - Child employment in agriculture (% of economically active children ages 7-14)
"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,"SL.AGR.0714.FE.ZS - Child employment in agriculture, female (% of female economically active children ages 7-14)"
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,"SL.AGR.0714.MA.ZS - Child employment in agriculture, male (% of male economically active children ages 7-14)"
Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,SL.MNF.0714.ZS - Child employment in manufacturing (% of economically active children ages 7-14)
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,"SL.MNF.0714.FE.ZS - Child employment in manufacturing, female (% of female economically active children ages 7-14)"
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,"SL.MNF.0714.MA.ZS - Child employment in manufacturing, male (% of male economically active children ages 7-14)"
