Indicator Name,Indicator Code,Category,Potential_Categories,Enhanced_Category
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,Economic,"['Economic', 'Education', 'Infrastructure', 'Demographics', 'Governance', 'Technology', 'Financial Services']",Financial Services
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,Economic,"['Economic', 'Infrastructure', 'Demographics', 'Governance', 'Technology', 'Financial Services']",Financial Services
Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,Poverty,"['Poverty', 'Demographics', 'Financial Services']",Poverty
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,Poverty,"['Poverty', 'Demographics', 'Labor']",Poverty
Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,Poverty,"['Poverty', 'Demographics']",Poverty
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,Poverty,"['Poverty', 'Demographics', 'Labor']",Poverty
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Education,"['Education', 'Demographics']",Education
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Education,"['Education', 'Demographics', 'Gender']",Education
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Education,"['Education', 'Demographics']",Education
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Economic,['Economic'],Economic
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Economic,['Economic'],Economic
Adjusted net national income (current US$),NY.ADJ.NNTY.CD,Economic,['Economic'],Economic
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Economic,['Economic'],Economic
Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,Economic,['Economic'],Economic
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Economic,['Economic'],Economic
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,Economic,"['Economic', 'Climate', 'Demographics']",Climate
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,Economic,"['Economic', 'Climate', 'Demographics']",Climate
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,Economic,"['Economic', 'Climate', 'Demographics']",Climate
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,Economic,"['Economic', 'Climate', 'Demographics']",Climate
Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,Economic,"['Economic', 'Climate', 'Demographics']",Climate
Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,Economic,"['Economic', 'Climate', 'Demographics']",Climate
Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,Economic,['Economic'],Economic
Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,Economic,['Economic'],Economic
Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,Economic,"['Economic', 'Education']",Education
Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,Economic,"['Economic', 'Education']",Education
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,Economic,"['Economic', 'Climate']",Economic
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,Economic,"['Economic', 'Climate']",Economic
Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,Economic,['Economic'],Economic
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,Economic,"['Economic', 'Natural Resources']",Economic
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,Economic,"['Economic', 'Natural Resources']",Economic
Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,Economic,"['Economic', 'Natural Resources']",Economic
Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,Economic,"['Economic', 'Climate']",Economic
Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,Economic,"['Economic', 'Climate']",Economic
Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,Economic,['Economic'],Economic
Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,Economic,['Economic'],Economic
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,Economic,"['Economic', 'Climate', 'Demographics']",Climate
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,Economic,"['Economic', 'Climate', 'Demographics']",Climate
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Gender
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Education,"['Education', 'Demographics']",Education
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Education,"['Education', 'Demographics']",Education
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Age dependency ratio (% of working-age population),SP.POP.DPND,Demographics,['Demographics'],Demographics
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,Demographics,['Demographics'],Demographics
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,Demographics,['Demographics'],Demographics
Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,Agriculture,['Agriculture'],Agriculture
Agricultural land (% of land area),AG.LND.AGRI.ZS,Agriculture,['Agriculture'],Agriculture
Agricultural land (sq. km),AG.LND.AGRI.K2,Agriculture,['Agriculture'],Agriculture
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,Economic,"['Economic', 'Agriculture']",Economic
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,Economic,"['Economic', 'Agriculture']",Economic
"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Economic,"['Economic', 'Climate', 'Agriculture']",Economic
"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,Climate,"['Climate', 'Agriculture']",Climate
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,Climate,"['Climate', 'Agriculture']",Climate
"Agriculture, forestry, and fishing, value added (constant LCU)",NV.AGR.TOTL.KN,Climate,"['Climate', 'Agriculture']",Climate
"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,Climate,"['Climate', 'Agriculture']",Climate
"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,Climate,"['Climate', 'Agriculture']",Climate
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",NV.AGR.EMPL.KD,Climate,"['Climate', 'Agriculture']",Climate
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,Infrastructure,['Infrastructure'],Infrastructure
"Air transport, passengers carried",IS.AIR.PSGR,Infrastructure,['Infrastructure'],Infrastructure
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,Infrastructure,"['Infrastructure', 'Tourism & Travel']",Infrastructure
Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,Climate,['Climate'],Climate
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,Agriculture,"['Agriculture', 'Infrastructure', 'Natural Resources']",Agriculture
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS,Infrastructure,"['Infrastructure', 'Natural Resources']",Infrastructure
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS,Infrastructure,"['Infrastructure', 'Natural Resources']",Infrastructure
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,Infrastructure,"['Infrastructure', 'Natural Resources']",Infrastructure
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,Infrastructure,"['Infrastructure', 'Natural Resources']",Infrastructure
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG,Economic,"['Economic', 'Poverty', 'Demographics']",Economic
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,Economic,"['Economic', 'Demographics']",Economic
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Gender
Aquaculture production (metric tons),ER.FSH.AQUA.MT,Agriculture,['Agriculture'],Agriculture
Arable land (% of land area),AG.LND.ARBL.ZS,Agriculture,['Agriculture'],Agriculture
Arable land (hectares per person),AG.LND.ARBL.HA.PC,Agriculture,['Agriculture'],Agriculture
Arable land (hectares),AG.LND.ARBL.HA,Agriculture,['Agriculture'],Agriculture
ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,Healthcare,"['Healthcare', 'Financial Services']",Financial Services
Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,Labor,"['Labor', 'Military']",Labor
"Armed forces personnel, total",MS.MIL.TOTL.P1,Military,['Military'],Military
Arms exports (SIPRI trend indicator values),MS.MIL.XPRT.KD,Economic,"['Economic', 'Military']",Economic
Arms imports (SIPRI trend indicator values),MS.MIL.MPRT.KD,Economic,"['Economic', 'Military']",Economic
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,Financial Services,['Financial Services'],Financial Services
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Demographics,['Demographics'],Demographics
Average time to clear exports through customs (days),IC.CUS.DURS.EX,Economic,"['Economic', 'Demographics']",Economic
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,Demographics,"['Demographics', 'Financial Services']",Demographics
Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,Demographics,"['Demographics', 'Financial Services']",Demographics
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM,Demographics,"['Demographics', 'Labor']",Demographics
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM,Demographics,"['Demographics', 'Labor']",Demographics
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,Demographics,"['Demographics', 'Labor']",Demographics
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM,Demographics,"['Demographics', 'Labor']",Demographics
Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,Economic,"['Economic', 'Financial Services']",Financial Services
Battle-related deaths (number of people),VC.BTL.DETH,Healthcare,"['Healthcare', 'Demographics', 'Military']",Healthcare
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,Poverty,"['Poverty', 'Financial Services']",Poverty
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot,Poverty,"['Poverty', 'Labor']",Poverty
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,Poverty,['Poverty'],Poverty
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,Poverty,"['Poverty', 'Labor']",Poverty
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,Economic,"['Economic', 'Demographics']",Economic
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,Economic,"['Economic', 'Demographics', 'Manufacturing']",Economic
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,Economic,"['Economic', 'Education', 'Demographics']",Economic
"Bird species, threatened",EN.BIR.THRD.NO,Natural Resources,['Natural Resources'],Natural Resources
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,Economic,"['Economic', 'Financial Services']",Financial Services
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS,Economic,['Economic'],Economic
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS,Economic,"['Economic', 'Manufacturing']",Economic
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS,Economic,"['Economic', 'Education']",Economic
Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,Economic,"['Economic', 'Law & Justice']",Law & Justice
Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,Economic,"['Economic', 'Infrastructure']",Economic
Broad money (current LCU),FM.LBL.BMNY.CN,Economic,"['Economic', 'Infrastructure']",Economic
Broad money growth (annual %),FM.LBL.BMNY.ZG,Economic,"['Economic', 'Infrastructure']",Economic
Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,Economic,"['Economic', 'Infrastructure']",Economic
Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,Economic,['Economic'],Economic
Capture fisheries production (metric tons),ER.FSH.CAPT.MT,Agriculture,['Agriculture'],Agriculture
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,Climate,"['Climate', 'Agriculture']",Climate
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),EN.GHG.CO2.BU.MT.CE.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),EN.GHG.CO2.FE.MT.CE.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),EN.GHG.CO2.IC.MT.CE.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),EN.GHG.CO2.IP.MT.CE.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),EN.GHG.CO2.PI.MT.CE.AR5,Climate,"['Climate', 'Infrastructure']",Climate
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,Climate,"['Climate', 'Infrastructure']",Climate
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),EN.GHG.CO2.LU.DF.MT.CE.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),EN.GHG.CO2.LU.FL.MT.CE.AR5,Climate,"['Climate', 'Agriculture']",Climate
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),EN.GHG.CO2.LU.OS.MT.CE.AR5,Climate,['Climate'],Climate
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),EN.GHG.CO2.LU.OL.MT.CE.AR5,Climate,"['Climate', 'Agriculture']",Climate
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),EN.GHG.CO2.LU.MT.CE.AR5,Climate,['Climate'],Climate
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),EN.GHG.CO2.RT.GDP.PP.KD,Economic,"['Economic', 'Climate']",Climate
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),EN.GHG.CO2.RT.GDP.KD,Economic,"['Economic', 'Climate']",Climate
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,Healthcare,"['Healthcare', 'Demographics', 'Gender']",Healthcare
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,Economic,"['Economic', 'Governance']",Economic
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN,Economic,"['Economic', 'Governance']",Economic
Cereal production (metric tons),AG.PRD.CREL.MT,Agriculture,['Agriculture'],Agriculture
Cereal yield (kg per hectare),AG.YLD.CREL.KG,Agriculture,['Agriculture'],Agriculture
Changes in inventories (constant LCU),NE.GDI.STKB.KN,Economic,['Economic'],Economic
Changes in inventories (current LCU),NE.GDI.STKB.CN,Economic,['Economic'],Economic
Changes in inventories (current US$),NE.GDI.STKB.CD,Economic,['Economic'],Economic
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,Financial Services,['Financial Services'],Financial Services
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,Financial Services,['Financial Services'],Financial Services
Chemicals (% of value added in manufacturing),NV.MNF.CHEM.ZS.UN,Manufacturing,['Manufacturing'],Manufacturing
Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,Economic,"['Economic', 'Agriculture', 'Demographics', 'Labor']",Economic
"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,Economic,"['Economic', 'Agriculture', 'Demographics', 'Labor', 'Gender']",Gender
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,Economic,"['Economic', 'Agriculture', 'Demographics', 'Labor']",Economic
Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,Economic,"['Economic', 'Demographics', 'Labor', 'Manufacturing']",Manufacturing
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,Economic,"['Economic', 'Demographics', 'Labor', 'Gender', 'Manufacturing']",Manufacturing
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,Economic,"['Economic', 'Demographics', 'Labor', 'Manufacturing']",Manufacturing
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,Economic,"['Economic', 'Demographics', 'Labor']",Economic
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,Economic,"['Economic', 'Demographics', 'Labor', 'Gender']",Gender
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,Economic,"['Economic', 'Demographics', 'Labor']",Economic
Children (0-14) living with HIV,SH.HIV.0014,Healthcare,['Healthcare'],Healthcare
Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,Healthcare,"['Healthcare', 'Demographics']",Healthcare
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,Demographics,"['Demographics', 'Labor']",Demographics
"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,Demographics,"['Demographics', 'Labor', 'Gender']",Gender
"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,Demographics,"['Demographics', 'Labor']",Demographics
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Education,"['Education', 'Demographics']",Education
"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,Education,"['Education', 'Demographics', 'Gender']",Education
"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,Education,"['Education', 'Demographics']",Education
"Children out of school, primary",SE.PRM.UNER,Education,['Education'],Education
"Children out of school, primary, female",SE.PRM.UNER.FE,Education,"['Education', 'Gender']",Education
"Children out of school, primary, male",SE.PRM.UNER.MA,Education,['Education'],Education
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,Economic,"['Economic', 'Infrastructure', 'Governance']",Economic
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,Economic,"['Economic', 'Governance']",Economic
Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,Economic,['Economic'],Economic
Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,Economic,"['Economic', 'Infrastructure']",Economic
Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,Economic,"['Economic', 'Infrastructure']",Economic
Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,Economic,['Economic'],Economic
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Climate,['Climate'],Climate
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,Economic,['Economic'],Economic
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,Economic,"['Economic', 'Financial Services']",Financial Services
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,Economic,['Economic'],Economic
Commercial service imports (current US$),TM.VAL.SERV.CD.WT,Economic,['Economic'],Economic
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Economic,"['Economic', 'Technology', 'Financial Services']",Financial Services
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,Economic,"['Economic', 'Technology', 'Financial Services']",Financial Services
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,Healthcare,"['Healthcare', 'Labor']",Healthcare
Compensation of employees (% of expense),GC.XPN.COMP.ZS,Economic,['Economic'],Economic
Compensation of employees (current LCU),GC.XPN.COMP.CN,Economic,['Economic'],Economic
Completeness of birth registration (%),SP.REG.BRTH.ZS,Healthcare,"['Healthcare', 'Demographics']",Healthcare
