Indicator Code,Indicator Name,Topic,Coarse_Topic
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),Environment: Agricultural production,Environment & Climate
AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),Environment: Agricultural production,Environment & Climate
AG.SRF.TOTL.K2,Surface area (sq. km),Environment: Land use,Environment & Climate
AG.YLD.CREL.KG,Cereal yield (kg per hectare),Environment: Agricultural production,Environment & Climate
BG.GSR.NFSV.GD.ZS,Trade in services (% of GDP),"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.CMCP.ZS,"Communications, computer, etc. (% of service imports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.FCTY.CD,"Primary income payments (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.GNFS.CD,"Imports of goods and services (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.INSF.ZS,"Insurance and financial services (% of service imports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.MRCH.CD,"Goods imports (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.NFSV.CD,"Service imports (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.ROYL.CD,"Charges for the use of intellectual property, payments (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.TOTL.CD,"Imports of goods, services and primary income (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.TRAN.ZS,"Transport services (% of service imports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.GSR.TRVL.ZS,"Travel services (% of service imports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BM.KLT.DINV.CD.WD,"Foreign direct investment, net outflows (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BM.TRF.PRVT.CD,"Secondary income, other sectors, payments (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Economy & Finance
BM.TRF.PWKR.CD.DT,"Personal remittances, paid (current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Economy & Finance
BN.CAB.XOKA.CD,"Current account balance (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Balances,Economy & Finance
BN.CAB.XOKA.GD.ZS,Current account balance (% of GDP),Economic Policy & Debt: Balance of payments: Current account: Balances,Economy & Finance
BN.FIN.TOTL.CD,"Net financial account (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BN.GSR.FCTY.CD,"Net primary income (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BN.GSR.GNFS.CD,"Net trade in goods and services (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Balances,Economy & Finance
BN.GSR.MRCH.CD,"Net trade in goods (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Balances,Economy & Finance
BN.KAC.EOMS.CD,"Net errors and omissions (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BN.KLT.DINV.CD,"Foreign direct investment, net (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BN.KLT.PTXL.CD,"Portfolio Investment, net (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BN.RES.INCL.CD,"Reserves and related items (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BN.TRF.CURR.CD,"Net secondary income (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Economy & Finance
BN.TRF.KOGT.CD,"Net capital account (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BX.GRT.EXTA.CD.WD,"Grants, excluding technical cooperation (BoP, current US$)",Economic Policy & Debt: Balance of payments: Reserves & other items,Economy & Finance
BX.GRT.TECH.CD.WD,"Technical cooperation grants (BoP, current US$)",Economic Policy & Debt: Balance of payments: Reserves & other items,Economy & Finance
BX.GSR.CCIS.CD,"ICT service exports (BoP, current US$)",Infrastructure: Communications,Infrastructure & Technology
BX.GSR.CCIS.ZS,"ICT service exports (% of service exports, BoP)",Infrastructure: Communications,Infrastructure & Technology
BX.GSR.CMCP.ZS,"Communications, computer, etc. (% of service exports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.GSR.FCTY.CD,"Primary income receipts (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.GSR.GNFS.CD,"Exports of goods and services (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.GSR.INSF.ZS,"Insurance and financial services (% of service exports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.GSR.MRCH.CD,"Goods exports (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.GSR.NFSV.CD,"Service exports (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.GSR.ROYL.CD,"Charges for the use of intellectual property, receipts (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.GSR.TOTL.CD,"Exports of goods, services and primary income (BoP, current US$)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.GSR.TRAN.ZS,"Transport services (% of service exports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.GSR.TRVL.ZS,"Travel services (% of service exports, BoP)","Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Economy & Finance
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BX.PEF.TOTL.CD.WD,"Portfolio equity, net inflows (BoP, current US$)",Economic Policy & Debt: Balance of payments: Capital & financial account,Economy & Finance
BX.TRF.CURR.CD,"Secondary income receipts (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Economy & Finance
BX.TRF.PWKR.CD,"Personal transfers, receipts (BoP, current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Economy & Finance
BX.TRF.PWKR.CD.DT,"Personal remittances, received (current US$)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Economy & Finance
BX.TRF.PWKR.DT.GD.ZS,"Personal remittances, received (% of GDP)",Economic Policy & Debt: Balance of payments: Current account: Transfers,Economy & Finance
CC.EST,Control of Corruption: Estimate,Public Sector: Policy & institutions,Government & Governance
CC.NO.SRC,Control of Corruption: Number of Sources,Public Sector: Policy & institutions,Government & Governance
CC.PER.RNK,Control of Corruption: Percentile Rank,Public Sector: Policy & institutions,Government & Governance
CC.PER.RNK.LOWER,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
CC.PER.RNK.UPPER,"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",Public Sector: Policy & institutions,Government & Governance
CC.STD.ERR,Control of Corruption: Standard Error,Public Sector: Policy & institutions,Government & Governance
CM.MKT.INDX.ZG,S&P Global Equity Indices (annual % change),Financial Sector: Capital markets,Market
CM.MKT.LCAP.CD,Market capitalization of listed domestic companies (current US$),Financial Sector: Capital markets,Market
CM.MKT.LCAP.GD.ZS,Market capitalization of listed domestic companies (% of GDP),Financial Sector: Capital markets,Market
CM.MKT.LDOM.NO,"Listed domestic companies, total",Financial Sector: Capital markets,Market
CM.MKT.TRAD.CD,"Stocks traded, total value (current US$)",Financial Sector: Capital markets,Market
CM.MKT.TRAD.GD.ZS,"Stocks traded, total value (% of GDP)",Financial Sector: Capital markets,Market
CM.MKT.TRNR,"Stocks traded, turnover ratio of domestic shares (%)",Financial Sector: Capital markets,Market
DC.DAC.AUSL.CD,"Net bilateral aid flows from DAC donors, Australia (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.AUTL.CD,"Net bilateral aid flows from DAC donors, Austria (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.BELL.CD,"Net bilateral aid flows from DAC donors, Belgium (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.CANL.CD,"Net bilateral aid flows from DAC donors, Canada (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.CHEL.CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.DNKL.CD,"Net bilateral aid flows from DAC donors, Denmark (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.ESPL.CD,"Net bilateral aid flows from DAC donors, Spain (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.ESTL.CD,"Net bilateral aid flows from DAC donors, Estonia (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.FINL.CD,"Net bilateral aid flows from DAC donors, Finland (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.GRCL.CD,"Net bilateral aid flows from DAC donors, Greece (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.HUNL.CD,"Net bilateral aid flows from DAC donors, Hungary (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.IRLL.CD,"Net bilateral aid flows from DAC donors, Ireland (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.ISLL.CD,"Net bilateral aid flows from DAC donors, Iceland (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.ITAL.CD,"Net bilateral aid flows from DAC donors, Italy (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.JPNL.CD,"Net bilateral aid flows from DAC donors, Japan (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.KORL.CD,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.LTUL.CD,"Net bilateral aid flows from DAC donors, Lithuania (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.LUXL.CD,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.NLDL.CD,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.NORL.CD,"Net bilateral aid flows from DAC donors, Norway (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.NZLL.CD,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.POLL.CD,"Net bilateral aid flows from DAC donors, Poland (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.PRTL.CD,"Net bilateral aid flows from DAC donors, Portugal (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.SVKL.CD,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.SVNL.CD,"Net bilateral aid flows from DAC donors, Slovenia (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.SWEL.CD,"Net bilateral aid flows from DAC donors, Sweden (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.DAC.USAL.CD,"Net bilateral aid flows from DAC donors, United States (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI),Economic Policy & Debt: Official development assistance,Economy & Finance
DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.ODA.TOTL.GN.ZS,"Net ODA provided, total (% of GNI)",Economic Policy & Debt: Official development assistance,Economy & Finance
DC.ODA.TOTL.KD,"Net ODA provided, total (constant 2021 US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)",Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.DECT.GN.ZS,External debt stocks (% of GNI),Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.DOD.DIMF.CD,"Use of IMF credit (DOD, current US$)",Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)",Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)",Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.DSTC.IR.ZS,Short-term debt (% of total reserves),Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.DOD.DSTC.XP.ZS,"Short-term debt (% of exports of goods, services and primary income)",Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.DOD.DSTC.ZS,Short-term debt (% of total external debt),Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.DOD.MIBR.CD,"PPG, IBRD (DOD, current US$)",Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.MIDA.CD,"PPG, IDA (DOD, current US$)",Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.MWBG.CD,"IBRD loans and IDA credits (DOD, current US$)",Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.PVLX.CD,Present value of external debt (current US$),Economic Policy & Debt: External debt: Debt outstanding,Economy & Finance
DT.DOD.PVLX.EX.ZS,"Present value of external debt (% of exports of goods, services and income)",Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.DOD.PVLX.GN.ZS,Present value of external debt (% of GNI),Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.NFL.BLAT.CD,"Net financial flows, bilateral (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.BOND.CD,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.CERF.CD,"Net official flows from UN agencies, CERF (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.DPNG.CD,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.FAOG.CD,"Net official flows from UN agencies, FAO (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.IAEA.CD,"Net official flows from UN agencies, IAEA (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.IFAD.CD,"Net official flows from UN agencies, IFAD (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.ILOG.CD,"Net official flows from UN agencies, ILO (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.IMFC.CD,"Net financial flows, IMF concessional (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.IMFN.CD,"Net financial flows, IMF nonconcessional (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.MIBR.CD,"Net financial flows, IBRD (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.MIDA.CD,"Net financial flows, IDA (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.MLAT.CD,"Net financial flows, multilateral (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.MOTH.CD,"Net financial flows, others (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.NIFC.CD,"IFC, private nonguaranteed (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.OFFT.CD,"PPG, official creditors (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.PBND.CD,"PPG, bonds (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.PCBK.CD,"PPG, commercial banks (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.PCBO.CD,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.PNGB.CD,"PNG, bonds (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.PNGC.CD,"PNG, commercial banks and other creditors (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.PROP.CD,"PPG, other private creditors (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.PRVT.CD,"PPG, private creditors (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.RDBC.CD,"Net financial flows, RDB concessional (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.RDBN.CD,"Net financial flows, RDB nonconcessional (NFL, current US$)",Economic Policy & Debt: External debt: Net flows,Economy & Finance
DT.NFL.SDGF.CD,"Net official flows from UN agencies, SDGFUND (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.SPRP.CD,"Net official flows from UN agencies, SPRP (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNAI.CD,"Net official flows from UN agencies, UNAIDS (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNCD.CD,"Net official flows from UN agencies, UNCDF (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNCF.CD,"Net official flows from UN agencies, UNICEF (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNCR.CD,"Net official flows from UN agencies, UNHCR (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNCTAD.CD,"Net official flows from UN agencies, UNCTAD (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNCV.CD,"Net official flows from UN agencies, UNCOVID (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNDP.CD,"Net official flows from UN agencies, UNDP (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNEC.CD,"Net official flows from UN agencies, UNECE (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNEP.CD,"Net official flows from UN agencies, UNEP (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNFP.CD,"Net official flows from UN agencies, UNFPA (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNID.CD,"Net official flows from UN agencies, UNIDIR (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNIDO.CD,"Net official flows from UN agencies, UNIDO (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNPB.CD,"Net official flows from UN agencies, UNPBF (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNRW.CD,"Net official flows from UN agencies, UNRWA (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNTA.CD,"Net official flows from UN agencies, UNTA (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNWN.CD,"Net official flows from UN agencies, UNWOMEN (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.UNWT.CD,"Net official flows from UN agencies, UNWTO (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.WFPG.CD,"Net official flows from UN agencies, WFP (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.WHOL.CD,"Net official flows from UN agencies, WHO (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.NFL.WITC.CD,"Net official flows from UN agencies, WTO-ITC (current US$)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.ALLD.CD,Net official development assistance and official aid received (current US$),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.ALLD.KD,Net official development assistance and official aid received (constant 2021 US$),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.OATL.CD,Net official aid received (current US$),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.OATL.KD,Net official aid received (constant 2021 US$),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.ODAT.CD,Net official development assistance received (current US$),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.ODAT.GI.ZS,Net ODA received (% of gross capital formation),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.ODAT.GN.ZS,Net ODA received (% of GNI),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.ODAT.KD,Net official development assistance received (constant 2021 US$),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.ODAT.MP.ZS,"Net ODA received (% of imports of goods, services and primary income)",Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.ODAT.PC.ZS,Net ODA received per capita (current US$),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.ODA.ODAT.XP.ZS,Net ODA received (% of central government expense),Economic Policy & Debt: Official development assistance,Economy & Finance
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)",Economic Policy & Debt: External debt: Debt service,Economy & Finance
DT.TDS.DECT.EX.ZS,"Total debt service (% of exports of goods, services and primary income)",Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.TDS.DECT.GN.ZS,Total debt service (% of GNI),Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.TDS.DIMF.CD,"IMF repurchases and charges (TDS, current US$)",Economic Policy & Debt: External debt: Debt service,Economy & Finance
DT.TDS.DPPF.XP.ZS,Debt service to exports (%),"World Bank, International Debt Statistics.",Other
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",Economic Policy & Debt: External debt: Debt service,Economy & Finance
DT.TDS.DPPG.GN.ZS,Public and publicly guaranteed debt service (% of GNI),Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.TDS.DPPG.XP.ZS,"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
DT.TDS.MLAT.CD,"Multilateral debt service (TDS, current US$)",Economic Policy & Debt: External debt: Debt service,Economy & Finance
DT.TDS.MLAT.PG.ZS,Multilateral debt service (% of public and publicly guaranteed debt service),Economic Policy & Debt: External debt: Debt ratios & other items,Economy & Finance
EG.CFT.ACCS.RU.ZS,"Access to clean fuels and technologies for cooking, rural (% of rural population)",Environment: Energy production & use,Environment & Climate
EG.CFT.ACCS.UR.ZS,"Access to clean fuels and technologies for cooking, urban (% of urban population)",Environment: Energy production & use,Environment & Climate
EG.CFT.ACCS.ZS,Access to clean fuels and technologies for cooking  (% of population),Environment: Energy production & use,Environment & Climate
EG.EGY.PRIM.PP.KD,Energy intensity level of primary energy (MJ/$2017 PPP GDP),Environment: Energy production & use,Environment & Climate
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",Environment: Energy production & use,Environment & Climate
EG.ELC.ACCS.UR.ZS,"Access to electricity, urban (% of urban population)",Environment: Energy production & use,Environment & Climate
EG.ELC.ACCS.ZS,Access to electricity (% of population),Environment: Energy production & use,Environment & Climate
EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),Environment: Energy production & use,Environment & Climate
EG.ELC.FOSL.ZS,"Electricity production from oil, gas and coal sources (% of total)",Environment: Energy production & use,Environment & Climate
